Team,Week,PositiveRatio,NegativeRatio,TotalComments,Div,Home,Margin of Victory,Opponent,Playoff,Prime Time,Win-Lose
Tampa Bay Buccaneers,Week 12,0.8627659574468085,0.1372340425531915,940,No,No,23.0,New York Giants,No,No,W
Chicago Bears,Week 13,0.4084880636604774,0.5915119363395226,377,Yes,No,-3.0,Detroit Lions,No,Yes,L
Indianapolis Colts,Week 13,0.8387543252595155,0.1612456747404844,1445,No,No,1.0,New England Patriots,No,No,W
Tennessee Titans,Week 13,0.5929824561403508,0.4070175438596491,285,No,No,-23.0,Washington Commanders,No,No,L
San Francisco 49ers,Week 14,0.590343818580834,0.409656181419166,1367,No,Yes,25.0,Chicago Bears,No,No,W
Arizona Cardinals,Week 15,0.6619217081850534,0.3380782918149466,281,No,Yes,13.0,New England Patriots,No,No,W
Carolina Panthers,Week 15,0.7076648841354723,0.2923351158645276,561,No,Yes,-16.0,Dallas Cowboys,No,No,L
Seattle Seahawks,Week 15,0.7482408131352619,0.2517591868647381,1279,No,Yes,-17.0,Green Bay Packers,No,Yes,L
Baltimore Ravens,Week 16,0.6928571428571428,0.3071428571428571,700,Yes,Yes,17.0,Pittsburgh Steelers,No,Yes,W
Cleveland Browns,Week 16,0.7147688838782412,0.2852311161217587,887,Yes,No,-18.0,Cincinnati Bengals,No,No,L
Denver Broncos,Week 16,0.5090817356205852,0.4909182643794147,1982,Yes,No,-7.0,Los Angeles Chargers,No,Yes,L
Indianapolis Colts,Week 16,0.6478599221789884,0.3521400778210117,2056,Yes,Yes,8.0,Tennessee Titans,No,No,W
Los Angeles Rams,Week 16,0.6355555555555555,0.3644444444444444,450,No,No,10.0,New York Jets,No,No,W
Minnesota Vikings,Week 16,0.7091633466135459,0.2908366533864542,753,No,No,3.0,Seattle Seahawks,No,No,W
Philadelphia Eagles,Week 16,0.4288990825688073,0.5711009174311926,436,Yes,No,-3.0,Washington Commanders,No,No,L
San Francisco 49ers,Week 16,0.5587846763540291,0.4412153236459709,757,No,No,-12.0,Miami Dolphins,No,No,L
Baltimore Ravens,Week 18,0.7068965517241379,0.293103448275862,348,Yes,Yes,25.0,Cleveland Browns,No,Yes,W
Carolina Panthers,Week 18,0.7719298245614035,0.2280701754385964,627,Yes,No,6.0,Atlanta Falcons,No,No,W
Jacksonville Jaguars,Week 18,0.6592797783933518,0.3407202216066482,361,Yes,No,-3.0,Indianapolis Colts,No,No,L
Minnesota Vikings,Week 18,0.6687224669603524,0.3312775330396476,1135,Yes,No,-22.0,Detroit Lions,No,No,L
Philadelphia Eagles,Week 18,0.6025974025974026,0.3974025974025974,385,Yes,Yes,7.0,New York Giants,No,No,W
Pittsburgh Steelers,Week 18,0.5485232067510548,0.4514767932489451,711,Yes,Yes,-2.0,Cincinnati Bengals,No,Yes,L
Seattle Seahawks,Week 18,0.8782213239009601,0.1217786760990399,1979,Yes,No,5.0,Los Angeles Rams,No,No,W
Tampa Bay Buccaneers,Week 18,0.5053475935828877,0.4946524064171123,374,Yes,Yes,8.0,New Orleans Saints,No,No,W
Baltimore Ravens,Wild Card,0.7202643171806168,0.2797356828193832,454,Yes,Yes,14.0,Pittsburgh Steelers,Yes,Yes,W
Green Bay Packers,Wild Card,0.5915178571428571,0.4084821428571428,448,No,No,-12.0,Philadelphia Eagles,Yes,Yes,L
Green Bay Packers,Week 2,0.7192224622030238,0.2807775377969762,463,No,Yes,6.0,Indianapolis Colts,No,No,W
New England Patriots,Week 2,0.3549517966695881,0.6450482033304119,1141,No,Yes,-3.0,Seattle Seahawks,No,No,L
New York Jets,Week 2,0.7299813780260708,0.2700186219739292,537,No,No,7.0,Tennessee Titans,No,No,W
San Francisco 49ers,Week 2,0.5457875457875457,0.4542124542124542,819,No,No,-6.0,Minnesota Vikings,No,No,L
Tennessee Titans,Week 2,0.6380832282471627,0.3619167717528373,793,No,Yes,-7.0,New York Jets,No,No,L
Tennessee Titans,Week 3,0.3875326939843069,0.6124673060156931,2294,No,Yes,-16.0,Green Bay Packers,No,No,L
Atlanta Falcons,Week 4,0.5879629629629629,0.412037037037037,432,Yes,Yes,2.0,New Orleans Saints,No,No,W
Buffalo Bills,Week 4,0.5338078291814946,0.4661921708185053,562,No,No,-25.0,Baltimore Ravens,No,Yes,L
New York Jets,Week 4,0.3898305084745763,0.6101694915254238,472,No,Yes,-1.0,Denver Broncos,No,No,L
Seattle Seahawks,Week 4,0.6201550387596899,0.3798449612403101,516,No,No,-13.0,Detroit Lions,No,Yes,L
Tampa Bay Buccaneers,Week 4,0.6588785046728972,0.3411214953271028,214,No,Yes,17.0,Philadelphia Eagles,No,No,W
Carolina Panthers,Week 5,0.5375268048606148,0.4624731951393853,1399,No,No,-26.0,Chicago Bears,No,No,L
Dallas Cowboys,Week 5,0.7847427557658191,0.2152572442341809,1691,No,No,3.0,Pittsburgh Steelers,No,Yes,W
Los Angeles Rams,Week 5,0.7188823031329382,0.2811176968670618,1181,No,Yes,-5.0,Green Bay Packers,No,No,L
Minnesota Vikings,Week 5,0.5399201596806387,0.4600798403193613,1002,No,Yes,6.0,New York Jets,No,No,W
Buffalo Bills,Week 6,0.4969879518072289,0.5030120481927711,332,Yes,No,3.0,New York Jets,No,Yes,W
Cincinnati Bengals,Week 6,0.575107296137339,0.4248927038626609,1398,No,No,10.0,New York Giants,No,Yes,W
Cleveland Browns,Week 6,0.5537190082644629,0.4462809917355372,363,No,No,-4.0,Philadelphia Eagles,No,No,L
Dallas Cowboys,Week 6,0.4519867549668874,0.5480132450331126,604,No,Yes,-38.0,Detroit Lions,No,No,L
New England Patriots,Week 6,0.7100694444444444,0.2899305555555556,576,No,Yes,-20.0,Houston Texans,No,No,L
Philadelphia Eagles,Week 6,0.6171171171171171,0.3828828828828828,444,No,Yes,4.0,Cleveland Browns,No,No,W
Washington Commanders,Week 6,0.7485217391304347,0.2514782608695652,2875,No,No,-7.0,Baltimore Ravens,No,No,L
Cincinnati Bengals,Week 7,0.7401913875598086,0.2598086124401914,2090,Yes,No,7.0,Cleveland Browns,No,No,W
Washington Commanders,Week 7,0.8927789934354485,0.1072210065645514,1371,No,Yes,33.0,Carolina Panthers,No,No,W
Carolina Panthers,Week 8,0.7808219178082192,0.2191780821917808,949,No,No,-14.0,Denver Broncos,No,No,L
Cleveland Browns,Week 8,0.604089219330855,0.395910780669145,538,Yes,Yes,5.0,Baltimore Ravens,No,No,W
Green Bay Packers,Week 8,0.7658730158730159,0.2341269841269841,504,No,No,3.0,Jacksonville Jaguars,No,No,W
New York Jets,Week 8,0.373134328358209,0.6268656716417911,402,Yes,No,-3.0,New England Patriots,No,No,L
Atlanta Falcons,Week 9,0.7438271604938271,0.2561728395061728,324,No,Yes,6.0,Dallas Cowboys,No,No,W
Carolina Panthers,Week 9,0.7019230769230769,0.2980769230769231,520,Yes,Yes,1.0,New Orleans Saints,No,No,W
Kansas City Chiefs,Week 9,0.5521126760563381,0.447887323943662,710,No,Yes,6.0,Tampa Bay Buccaneers,No,Yes,W
Los Angeles Rams,Week 9,0.6580310880829016,0.3419689119170984,193,Yes,No,6.0,Seattle Seahawks,No,No,W
Tennessee Titans,Week 9,0.3910614525139664,0.6089385474860335,895,No,Yes,3.0,New England Patriots,No,No,W
Arizona Cardinals,Week 10,0.6990291262135923,0.3009708737864077,103,No,Yes,25.0,New York Jets,No,No,W
New Orleans Saints,Week 10,0.4660894660894661,0.5339105339105339,693,Yes,Yes,3.0,Atlanta Falcons,No,No,W
Tampa Bay Buccaneers,Week 10,0.5269360269360269,0.4730639730639731,594,No,Yes,-3.0,San Francisco 49ers,No,No,L
Jacksonville Jaguars,Week 11,0.4690346083788707,0.5309653916211293,1098,No,No,-46.0,Detroit Lions,No,No,L
Miami Dolphins,Week 11,0.5045871559633027,0.4954128440366973,327,No,Yes,15.0,Las Vegas Raiders,No,No,W
Minnesota Vikings,Week 11,0.6749236511706821,0.3250763488293179,2947,No,No,10.0,Tennessee Titans,No,No,W
New England Patriots,Week 11,0.5878623188405797,0.4121376811594203,2208,No,Yes,-6.0,Los Angeles Rams,No,No,L
New Orleans Saints,Week 11,0.6783216783216783,0.3216783216783216,143,No,Yes,21.0,Cleveland Browns,No,No,W
Pittsburgh Steelers,Week 11,0.6305343511450382,0.3694656488549618,655,Yes,Yes,2.0,Baltimore Ravens,No,No,W
San Francisco 49ers,Week 11,0.4237588652482269,0.5762411347517731,564,Yes,Yes,-3.0,Seattle Seahawks,No,No,L
New England Patriots,Week 12,0.7982873453853473,0.2017126546146527,1051,Yes,No,-19.0,Miami Dolphins,No,No,L
San Francisco 49ers,Week 12,0.4894179894179894,0.5105820105820106,756,No,No,-28.0,Green Bay Packers,No,No,L
Washington Commanders,Week 12,0.4698581560283688,0.5301418439716312,564,Yes,Yes,-8.0,Dallas Cowboys,No,No,L
Atlanta Falcons,Week 13,0.486784140969163,0.513215859030837,454,No,Yes,-4.0,Los Angeles Chargers,No,No,L
Dallas Cowboys,Week 13,0.6574074074074074,0.3425925925925926,216,Yes,Yes,7.0,New York Giants,No,Yes,W
Kansas City Chiefs,Week 13,0.5572390572390572,0.4427609427609427,594,Yes,Yes,2.0,Las Vegas Raiders,No,Yes,W
Las Vegas Raiders,Week 13,0.6810551558752997,0.3189448441247002,834,Yes,No,-2.0,Kansas City Chiefs,No,Yes,L
New Orleans Saints,Week 13,0.4728260869565217,0.5271739130434783,368,No,Yes,-7.0,Los Angeles Rams,No,No,L
Philadelphia Eagles,Week 13,0.6455981941309256,0.3544018058690745,443,No,No,5.0,Baltimore Ravens,No,No,W
Pittsburgh Steelers,Week 13,0.7127659574468085,0.2872340425531915,940,Yes,No,6.0,Cincinnati Bengals,No,No,W
Seattle Seahawks,Week 13,0.6526479750778816,0.3473520249221183,642,No,No,5.0,New York Jets,No,No,W
Tampa Bay Buccaneers,Week 13,0.7849740932642487,0.2150259067357512,772,Yes,No,3.0,Carolina Panthers,No,No,W
Atlanta Falcons,Week 14,0.5038759689922481,0.4961240310077519,516,No,No,-21.0,Minnesota Vikings,No,No,L
Buffalo Bills,Week 14,0.532258064516129,0.4677419354838709,434,No,No,-2.0,Los Angeles Rams,No,No,L
Carolina Panthers,Week 14,0.7454931071049841,0.2545068928950159,943,No,No,-6.0,Philadelphia Eagles,No,No,L
Cincinnati Bengals,Week 14,0.7300177619893428,0.2699822380106572,563,No,No,7.0,Dallas Cowboys,No,Yes,W
Cleveland Browns,Week 14,0.3891607075649228,0.6108392924350772,2657,Yes,No,-13.0,Pittsburgh Steelers,No,No,L
Detroit Lions,Week 14,0.5032051282051282,0.4967948717948718,312,Yes,Yes,3.0,Green Bay Packers,No,Yes,W
Los Angeles Chargers,Week 14,0.4433198380566802,0.5566801619433198,494,Yes,No,-2.0,Kansas City Chiefs,No,Yes,L
Los Angeles Rams,Week 14,0.5938628158844765,0.4061371841155234,554,No,Yes,2.0,Buffalo Bills,No,No,W
Los Angeles Chargers,Week 15,0.5869643500180051,0.4130356499819949,2777,No,Yes,-23.0,Tampa Bay Buccaneers,No,No,L
Los Angeles Rams,Week 15,0.6728971962616822,0.3271028037383177,214,Yes,No,6.0,San Francisco 49ers,No,Yes,W
New Orleans Saints,Week 15,0.6952380952380952,0.3047619047619048,105,No,Yes,-1.0,Washington Commanders,No,No,L
Buffalo Bills,Week 16,0.6123417721518988,0.3876582278481013,632,Yes,Yes,3.0,New England Patriots,No,No,W
Dallas Cowboys,Week 16,0.8090646094503375,0.1909353905496625,1037,No,Yes,2.0,Tampa Bay Buccaneers,No,Yes,W
Las Vegas Raiders,Week 16,0.7299444003177125,0.2700555996822875,1259,No,Yes,5.0,Jacksonville Jaguars,No,No,W
Los Angeles Chargers,Week 16,0.7255216693418941,0.2744783306581059,623,Yes,Yes,7.0,Denver Broncos,No,Yes,W
Miami Dolphins,Week 16,0.4659090909090909,0.5340909090909091,352,No,Yes,12.0,San Francisco 49ers,No,No,W
New England Patriots,Week 16,0.4211026615969582,0.5788973384030418,1052,Yes,No,-3.0,Buffalo Bills,No,No,L
Cleveland Browns,Week 18,0.5376555337262606,0.4623444662737394,1527,Yes,No,-25.0,Baltimore Ravens,No,Yes,L
Dallas Cowboys,Week 18,0.6845070422535211,0.3154929577464789,355,Yes,Yes,-4.0,Washington Commanders,No,No,L
Denver Broncos,Week 18,0.7140625,0.2859375,640,Yes,Yes,38.0,Kansas City Chiefs,No,No,W
Detroit Lions,Week 18,0.6418269230769231,0.3581730769230769,416,Yes,Yes,22.0,Minnesota Vikings,No,Yes,W
Green Bay Packers,Week 18,0.4380952380952381,0.5619047619047619,420,Yes,Yes,-2.0,Chicago Bears,No,No,L
Houston Texans,Week 18,0.7435897435897436,0.2564102564102564,78,Yes,No,9.0,Tennessee Titans,No,No,W
Las Vegas Raiders,Week 18,0.5531914893617021,0.4468085106382978,235,Yes,Yes,-14.0,Los Angeles Chargers,No,No,L
Los Angeles Chargers,Week 18,0.539622641509434,0.460377358490566,265,Yes,No,14.0,Las Vegas Raiders,No,No,W
Los Angeles Rams,Week 18,0.8612143742255266,0.1387856257744733,807,Yes,Yes,-5.0,Seattle Seahawks,No,No,L
Miami Dolphins,Week 18,0.5213903743315508,0.4786096256684492,374,Yes,No,-12.0,New York Jets,No,Yes,L
New York Giants,Week 18,0.635593220338983,0.3644067796610169,590,Yes,No,-7.0,Philadelphia Eagles,No,No,L
New York Jets,Week 18,0.719626168224299,0.2803738317757009,535,Yes,Yes,12.0,Miami Dolphins,No,No,W
Tennessee Titans,Week 18,0.6940639269406392,0.3059360730593607,219,Yes,Yes,-9.0,Houston Texans,No,No,L
Houston Texans,Wild Card,0.7123287671232876,0.2876712328767123,292,No,Yes,20.0,Los Angeles Chargers,Yes,Yes,W
